QueryType,QueryText,KccAns,,,,
Government Schemes,cooperative department related to query,"--    ????????  ?????  ?????  ????  ???? -18003456290,06122200693",,,,
Government Schemes,CROP INSURANCE SCHEME RELATED QUERY,"?????? ?? ????????? ???????? ????? ?? ????? ???? ???? (0612)-2200693.,1800-345-6290 ?? ?? ?? ??? ???? ?? ????? ?? ?????? ,??? ?????? ?? ??????? ?? ???? ??? ?? ???? ?? ?? ??????? http://cooperative.bih.nic.in/ ?? ??? ???? ??? I",,,,
Government Schemes,krishi input anudan related  query,-- ?????? ??? ???? ??????? ?? ??????? ???,,,,
Government Schemes,kisan registration related  query,"????  ??????  ????? / ????? ?????? ?? ????? ??? 
?? ????? ?????????? ??????????? ?? ?????? ???",,,,
"	Plant Protection	",First spray in mango before flowering,"?? ??? ???? ??????? ???? ?????? ?? ????, ???? ?? ???????? ???????  ?? ???? ???? ?? |  ???? ??????? ?? ??? ?? ???? ???? ?? ?? ??????? ???? ?? ??? ?? ?????? ??? ???? ???? ??? ?? ?????? ??????? ?? ???????? ?? ?????? ????? ?? ??? ???? ?????? ?????? ??? ?? ???? ?? | 

??????? ????? 3 ????? ????? ???? ???? ?? ?????? ?????? ???? | 

??????? ?????????????? 17.8 SL @ 1 ml / 3 ???? ???? ?? ?????? ?? ?????? ??????  ???? |",,,,
Government Schemes,KCC RELATED QUERY,???? ??? ?????????? ????? ????/?????? ?????? ?? ??????? ???,,,,
Government Schemes,Check Status of Input Subsidy,??? ????? ??????? ?? ????? ?? ?????? ???? ???? ?? ??? www.dbtagriculture.bihar.gov.in  ?? ??????? ?? ?????,,,,
"	Plant Protection	",mango plant protection,--????? ??? ???? ?? ??? ??? ?? ??? ???? ??? ?? ???? ??? ???? ?? ???? ?? ????????? ?????? ?? ????? ??? ?????,,,,
Government Schemes,Query ABOUT Pradhan Mantri KIsan SAmman Nidhi Yojna Help LINE number Help line number,"?????? ?????? ????? ?????? ???? ????? ????? ???? ???? 01124300606 , 01123381092 Email:pmkisan-ict@gov.in",,,,
Government Schemes,"Query ABOUT Pradhan Mantri KIsan SAmman Nidhi Yojna Help LINE number Help line number
","?????? ?????? ????? ?????? ???? ????? ????? ???? ???? 01124300606 , 01123381092 Email:pmkisan-ict@gov.in",,,,
Government Schemes,Dbt kisan registration related Query,????? ??????? ???   ?????? ?????? ?? ????  0612 2233555 ?? ????? ????|,,,,
Government Schemes,Krishi input anudan (KHARIF) related query,"--???? ????? ?????? ?? ??? ?? ???? ????? ??????? ?? ?????? ????   ???? ????? ?????? ?? ??? ???? ???? ????????? ?? ?????? ???? 0612 2233555 

",,,,
Cultural Practices,TELL ME ABOUT INFORMATION POTATO DIGGING REGARDING  ?,"??? ?? ????? ????? ???  ???? ????? ?? ?????  ????? ??????? ?????? ?? ??  30 ?????? ?????????? ?????? ??? ?? ????? ?? ????? ?? ???? ????? ,???? ??? ???? ???? ?? ???? ????? ??",,,,
Government Schemes,"TELL ME CONTACT NUMBER OF DBT PORTAL   BIHAR SATE INFORMATION ?
","--????? ????? ?? ?????? ?????? ?? ???? ??? ??????? ?? ???  ?????? ????=   0612 -  2233 555
",,,,
Government Schemes,"TELL ME ABOUT INFORMATION OF DBT BIHAR SCHEME  RELATED  ?
","????? ????? ?? ??? ?? ?? ??? ??????? ?? ??????? ?? ??? ?? ????  ????? ?? ??????? ???? ??  1800 180 1551 ?? ??? ???? ???? ???? ??? ????? ????? ??? ?????  ?? ??? ?? ????  ???? ??????? ?? ???? ??????? ??? ??? |
",,,,
"	Plant Protection	",PLANT PROTECTION RELATED QUERY,????????? 2 ????? ??? ?? ???? ???? ?? ????? ?? ?????? ???? ??? ?????? ??,,,,
Government Schemes,want to know about Input subsidy status money not getting,????? ??????? ?? ??????? ?? ??? ???? ???? ??????? ?? ?????? ???? ????????? ?? ??????? ???? ?????,,,,
Weather,Farmer asked query on Weather,"???? ?? ??????????? ???? ?? ??? ?????  ?? ????? ????? ?????? ?????? ?? -22, ??????? 7 -9 ?????? ????????  ??? ???? ??? ????? ??? ????? ?? ??????? ????  ???, ??? ?? ??? 4 -? ???????? ????? ???? ?? ?????? ?? ???? ?? ??????? ???",,,,
Government Schemes,"-PM KISAN SAMMAN NIDHI SCHEME      

HELP LINE NUMBER","-PM KISAN SAMMAN NIDHI SCHEME      

HELP LINE NUMBER     

01124300606 

--???????????? ????? ?????? ???? ????? ?? ??????? ?????? ???? ????? ????? ???? ????: - 011-23381092,011-23382401 

Email: pmkisan-hqrs@gov.in",,,,
Cattle shed Planning and Management,ANIMAL HUSBANDRY RELATED QUERY,--??????? ????? ????????? ???? :-0612-2230942,,,,
Government Schemes,KRISHI INPUT RELATED QUERY,DBT HELPLINE NUMBER - 0612 2233555,,,,
Government Schemes,Government Subsidy Related query,"??.??.??,???? ????? ?????? ?? ?????? ??????? ?? ??? 0612-2233555 ?? ?????? ????",,,,
Government Schemes,cooperative department related to query,"????????  ?????  ?????  ????  ???? -18003456290,06122200693",,,,
Weather,Farmer asked query on Weather,"???? ?? ??????????? , ???? -  Siwan           ?????? -  Goriakothi        .  ????? ??? ?? ?????? ???? ???? ??? ????? ??? ?? ???? ???? ?????? ????? ????? ?? ???????? ???? ?? ?? ?? ?? ?? ????? ?????? ?????? 24-25 ?????? ???????? ?? ??????? ?????? 9-11  ?????? ???????? ?? ??? ?? ??? ???? 7-10 ???????? ?????  ???? ?? ???? ?? ??????? ??)",,,,
Government Schemes,Pradhan Mantri Kisan Samman Nidhi Yojna related query,????? ??? ???????????? ????? ?????? ???? ????? ?? ??? ???? ??? ??? ???? ??? ????? ??? ?? ??? ??? ???? ????? ??? ?? ?? ?? ?? ????? ??? ????? ?? ??? ????? ?? ???? ??? ????? ??? ?? ???? ???? ?? ?? ????? ?? ??? ???? ?? ???? ????,,,,
Government Schemes,Fasal Bima Yojna or cooperative Department contact details,"-- 
http://cooperative.bih.nic.in 
??? ???? ???????? ??????? ?? ??? ??  ????? ???????? ????????? ?? ?????? ??? 
Fasal Bima Yojna- ????? ???? ?? ??? ???? ?? ?????? ?????? ?? ??? kisanreghelp@gmail.com ?? ???? ????? ?? M-8877225693 ?? ?????? ???? ??? ???? ??? 1800-345-6290, 0612-2200693",,,,
Weather,Farmer asked query on Weather,"???? ?? ??????????? ????,????? ?? ???????? ????? ???, ????  5 ????? ??? ???? ????? ?? ??? ??????? ???? ??,  ? ?? ???????? ?????? ?????? (15 ° C ?? ??????? ?????? 06 ° C) ?? ??? ?? ??? 09 KM / ???? ???? ?? ??????? ??
",,,,
"	Plant Protection	",PLANT PROTECTION RELATED QUERY,???????? - ?? ????? ????? ???? ???? ??? ??? ??? ?? ?????? ????,,,,
Government Schemes,Government Subsidy Related query,???? ??????? ?? ?????? ?????,,,,
Government Schemes,"Government Subsidy Related query
","??.??.??,???? ????? ??????  ?? ?????? ??????? ?? ??? 0612-2233555 ?? ?????? ????",,,,
Government Schemes,"Check Application Status for PM-KISAN
","BANTI KUMAR, ???? ????? ADM(Revenue) ???? ?? ???????? ???? ?? ??????? ?? ???? ????????? ?? ???? ??? ?? |	",,,,
Government Schemes,"

query about government schemes 

","

dbt cell help line number 06122233555 

",,,,
"	Plant Protection	",PLANT PROTECTION RELATED QUERY,1 ???? ???? ??? 5 ????? ??? ?????? ?? ??? ????? ?????? ???? ??,,,,
"	Plant Protection	",Plant protection,Spray NPK 19-19-19 @ 5 gram per litre of water,,,,
"	Plant Protection	",Plant protection,"Spray Saaf @2gm /lit of water   
Mancozeb 63% + Carbendazim 12% WP",,,,
"	Plant Protection	",plant protection of garlic crop,Spray Saaf @2gm /lit of water Mancozeb 63% + Carbendazim 12% WP,,,,
"	Plant Protection	",okra cultural practices related query,????????????? 1 ML / 3 ???? ???? ??? ?????? ?????? ???,,,,
"	Plant Protection	",PRADHAN MANTRI KISAN SAMAN NIDHI YOJANA RELATED QUERY,"PRADHAN MANTRI KISAN SAMAN NIDHI YOJANA RELATED QUERY 

?????? ?????? ????? ?????? ???? ????? HELP LINE NO -                  -01123381092,01123382401, 011-24300606 

pmkisan-ict@gov.in",,,,
"	Plant Protection	",PLANT PROTECTION RELATED QUERY,??????????? 1 ML / 4 ???? ???? ??? ?????? ?????? ???,,,,
